"NRA"	"Establecimiento"	"Sector"	"Número SCIAN"	"SCIAN"	"Clave Ambiental"	"Actividad Principal"	"Nombre Parque Industrial"	"Latitud Norte"	"Longitud Oeste"	"Calle"	"Número Exterior"	"Número Interior"	"Entre Calle 1"	"Entre Calle 2"	"Colonia"	"Localidad"	"Municipio"	"Entidad Federativa"	"Código Postal"
"MAE7N1101711"	"CIA. MANUFACTURERA DE ARTEFACTOS ELECTRICOS, S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"331411"	"Fundición y refinación de cobre."	"7N"	"AFINACIÓN Y REFINACIÓN DE COBRE (ASÍ COMO SUS ALEACIONES; INCLUYE FUNDICIÓN, EXTRUSIÓN O E"		"20°40'28"""	"101°20'51"""	"BOULEVARD SOLIDARIDAD"	"9363"		"ALVARO OBREGON"	"JOSE ITURBIDE"	"LOS HOYOS"	"IRAPUATO"	"Irapuato"	"GUANAJUATO"	"36510"
"MAG5I0502311"	"MAGNELEC S.A. DE C.V."	"Quimica"	"325180"	"Fabricación de otros productos químicos básicos inorgánicos."	"5I"	"PRODUCCIÓN DE ÁCIDOS, BASES Y SALES INORGÁNICAS."		"27°1'50"""	"103°22'0"""	"DOMICILIO CONOCIDO"	"SN"				"INDUSTRIAL"	"LAGUNA DEL REY"	"Ocampo"	"COAHUILA"	"27630"
"MAG7N1904611"	"MAGNEKON, S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"331411"	"Fundición y refinación de cobre."	"7N"	"AFINACIÓN Y REFINACIÓN DE COBRE (ASÍ COMO SUS ALEACIONES; INCLUYE FUNDICIÓN, EXTRUSIÓN O E"		"25°43'9"""	"100°14'46"""	"AV. RÓMULO GARZA"	"290"		"AV. CONDUCTORES"	"GRANADA"	"NA"		"San Nicolas de los Garza"	"NUEVO LEON"	"66493"
"MAG7T1903911"	"MAGOTTEAUX  S. A. DE C. V."	"Metalurgica (incluye la siderurgica)"	"331510"	"Moldeo por fundición de piezas de hierro y acero."	"7T"	"FUNDICIÓN Y MOLDEO DE PIEZAS DE HIERRO Y ACERO."		"25°41'48"""	"100°18'7"""	"Ave. San Nicolás"	"2660"	"Norte"	"Gardenia"	"Minas Viejas"	"Victoria"	"Monterrey"	"Monterrey"	"NUEVO LEON"	"64520"
"MAL231512111"	"MANUFACTURERA ALEAR, S.A. DE C.V."	"Articulos y productos metalicos"	"332710"	"Maquinado de piezas metálicas para maquinaria y equipo en general."	"8L"	"MANUFACTURA DE PRODUCTOS METÁLICOS MAQUINARIA Y EQUIPO"		"19°37'1"""	"99°13'15"""	"MARGARITA CHORNE"	"72A"		"AV. HIDALGO"	"ALLENDE"	"GRANJAS LOMAS DE GUADALUPE"	"CUATITLAN IZCALLI"	"Cuautitlan"	"MEXICO"	"54767"
"MAL5N1503312"	"CAMPOS BELMONT MIGUEL"	"Quimica"	"325310"	"Fabricación de fertilizantes."	"5N"	"PRODUCCIÓN  DE FERTILIZANTES QUÍMICOS (SÓLO INCLUYE SU PRODUCCIÓN MEDIANTE REACCIONES QUÍM"		"19°36'52"""	"98°58'23"""	"AQUILES SERDAN"	"5"		"CARRETERA LECHERIA  TEXCOCO"	"PLUTARCO ELIAS CALLES"	"LOS ANGELES"	"TOTOLCINGO"	"Acolman"	"MEXICO"	"55882"
"MAL7X2804011"	"Maltex, S.A. de C.V."	"Articulos y productos metalicos"	"332999"	"Fabricación de otros productos metálicos."	"7X"	"Fabricacion de Puertas y Marcos de Metal."		"25°47'29"""	"97°47'46"""	"Brecha 122 km 68"	"NA"	"NA"	"NA"	"NA"	"NA"	"Poblado Anahuac"	"Valle Hermoso"	"TAMAULIPAS"	"87510"
"MAM8L1900611"	"Monterrey Aerospace de México S. de R.L. de C.V."	"Automotriz"	"336410"	"Fabricación de equipo aeroespacial."	"9S"	"Accesorios y refacciones para helicópteros"	"Parque Industrial Milenium"	"25°46'13"""	"100°7'35"""	"Via Monterrey Matamoros"	"00841"		"N.A."	"N.A."		"Apodaca"	"Apodaca"	"NUEVO LEON"	"66600"
"LTSB03004511"	"LOGISTICA Y TRANSPORTES DEL SURESTE S.A. DE C.V."	"Otros"	"484119"	"Otro autotransporte local de carga general."	"B0"	"TRANSPORTE FEDERAL DE CARGA"		"18°10'9"""	"96°6'9"""	"KM 5.5 CARRETERA ALEMAN-TUXTEPEC"	"S.N."		"N.A."	"N.A."	"N.A."	"SANTA CRUZ"	"Cosamaloapan de Carpio"	"VERACRUZ"	"95429"
"LUC8A0901011"	"LUCK S.A. DE C.V."	"Quimica"	"332810"	"Recubrimientos y terminados metálicos."	"8A"	"GALVANOPLASTIA (EN PIEZAS METÁLICAS; NO INCLUYE JOYERÍA)."		"19°17'34"""	"99°7'30"""	"PROLONGACIÓN AV. CENTENARIO"	"1510"		"BELEN DE LAS FLORES"	"ANGEL REYES"	"PUERTA GRANDE"	"ALVARO OBREGON"	"Alvaro Obregon"	"DISTRITO FEDERAL"	"01640"
"LUD2F2602911"	"JULIO RAMON LUEBBERT DUARTE"	"Alimenticio y/o de consumo humano"	"311710"	"Preparación y envasado de pescados y mariscos."	"20"	"ELABORACION DE HARINA DE PESCADO"	"RODOLFO SANCHEZ TABOADA"	"27°52'53"""	"110°52'6"""	"LOTE 1 MANZANA C Y D"	"SN"		"."	"."	"PARQUE INDUSTRIAL"	"GUAYMAS"	"Guaymas"	"SONORA"	"85485"
"LUP910502711"	"LII UNITED PRODUCTS S. DE R.L. DE C.V."	"Articulos y productos metalicos"	"333411"	"Fabricación de equipo de aire acondicionado y calefacción."	"8N"	"FABRICACION DE SISTEMAS DE AIRE ACONDICIONADO Y CALEFACCION"	"PARQUE INDUSTRIAL AMISTAD"	"25°32'40"""	"100°55'25"""	"LIBRAMIENTO OSCAR FLORES TAPIA"	"1505"		"NA"	"NA"	"PARQUE INDUSTRIAL AMISTAD"	"RAMOS ARIZPE"	"Ramos Arizpe"	"COAHUILA"	"25900"
"LVA5T0901211"	"LABORATORIOS VALDECASAS S.A."	"Quimica"	"325412"	"Fabricación de preparaciones farmacéuticas."	"5T"	"LABORATORIO DE PRODUCTOS MEDICINALES"		"19°17'2"""	"99°10'29"""	"AV. INSURGENTES"	"4058"		"ARENAL"	"CALVARIO"	"TLALPAN"		"Tlalpan"	"DISTRITO FEDERAL"	"14430"
"LVI6Z1505711"	"LATINOAMERICANA DE VIDRIO S.A. DE C.V."	"vidrio"	"327213"	"Fabricación de envases y ampolletas de vidrio."	"6Z"	"PRODUCCIÓN DE BOTELLAS, ENVASES Y SIMILARES DE VIDRIO (SÓLO CUANDO SE ELABORA EL VIDRIO; N"	"SAN ANDRES ATOTO"	"19°28'8"""	"99°13'32"""	"GENERAL AGUSTIN MILLAN"	"10"		"16 DE SEPTIEMBRE"	"PERIFERICO"	"SAN ANDRES ATOTO"	"ESTADO DE MEXICO"	"Naucalpan de Juarez"	"MEXICO"	"53000"
"LVRLJ2800311"	"LV RECYCLE S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"331510"	"Moldeo por fundición de piezas de hierro y acero."	"LJ"	"FUNDICIÓN DE CHATARRA DE FIERRO, ALUMINIO, DE BRONCE, DE PLOMO Y DE OTROS MATERIALES"	"FRACC. INDUSTRIAL ING. SANCHEZ DOMINGUEZ"	"22°15'19"""	"97°52'7"""	"BLVD. DE LOS RIOS"	"9350"		"SOTO LA MARINA"	"RIO PANUCO"	"PUERTO INDUSTRIAL DE ALTAMIRA"		"Altamira"	"TAMAULIPAS"	"89603"
"LZA5T1412011"	"LABORATORIOS ZAFIRO S.A. DE C.V."	"Quimica"	"325412"	"Fabricación de preparaciones farmacéuticas."	"5T"	"PRODUCCIÓN DE FARMACÉUTICOS Y MEDICAMENTOS"		"20°37'30"""	"103°25'22"""	"CIRCUNVALACIÓN NORTE"	"56"		"SANTA ANA"	"CIRCUNVALACIÓN SUR"	"LAS FUENTES"	"ZAPOPAN"	"Zapopan"	"JALISCO"	"45070"
"MAB6P0200411"	"MABAMEX S.A. DE C.V."	"Articulos y productos compuestos de diferentes materiales"	"339930"	"Fabricación de juguetes."	"A6"	"FABRICACION Y ENSAMBLE DE JUGUETES"		"32°28'28"""	"116°51'20"""	"BOULEVARD EL REFUGIO"	"25551"		"EL FLORIDO"	"PRINCIPAL"	"EL FLORIDO"	"TIJUANA"	"Tijuana"	"BAJA CALIFORNIA"	"22684"
"MAB7X2200511"	"MEGGITT AIRCRAFT BRAKING SYSTEMS QUERETARO S DE R.L DE C.V"	"Automotriz"	"336410"	"Fabricación de equipo aeroespacial."	"9S"	"MAQUINADO DE PIEZAS FORJADAS PARA LA INDUSTRIAL AEROESPACIAL"	"PARQUE AEROESPACIAL QUERETARO"	"20°37'9"""	"100°10'18"""	"CARRETERA ESTATAL 200 QRO TEQUISQUIAPAN"	"KM 22 No. 547"	"Int. A"	"AV PROVEEDORES"	"AV PROVEEDORES"	"PARQUE AEROESPACIAL QUERETARO"	"QUERETARO"	"Colon"	"QUERETARO"	"76278"
"LSI5T0901411"	"LABORATORIOS SILANES S. A. DE C. V."	"Quimica"	"325412"	"Fabricación de preparaciones farmacéuticas."	"5T"	"PRODUCCIÓN DE FARMACÉUTICOS Y MEDICAMENTOS (NO INCLUYE EMPACADO Y/O ETIQUETADO)."		"19°22'25"""	"99°10'4"""	"AMORES"	"1304"		"ND"	"ND"	"DEL VALLE"		"Benito Juarez"	"DISTRITO FEDERAL"	"03100"
"LSI5T1510611"	"LABORATORIOS SILANES S.A. DE C.V."	"Quimica"	"325412"	"Fabricación de preparaciones farmacéuticas."	"5T"	"PRODUCCIÓN DE FARMACÉUTICOS Y MEDICAMENTOS (NO INCLUYE EMPACADO Y/O ETIQUETADO)."	"TOLUCA 2000"	"19°22'1"""	"99°34'31"""	"EJE 3 NTE. PROLONGACIÓN 6 NTE."	"200"	"SN"	"EJE 3 NTE"	"PROLONGACIÓN 6 NTE."	"PARQUE INDUSTRIAL TOLUCA 2000"	"TOLUCA"	"Toluca"	"MEXICO"	"50200"
"LSO5T1409811"	"Laboratorios Solfran S.A"	"Quimica"	"325412"	"Fabricación de preparaciones farmacéuticas."	"5T"	"PRODUCCIÓN DE FARMACÉUTICOS Y MEDICAMENTOS (NO INCLUYE EMPACADO Y/O ETIQUETADO)."	"Fraccionamiento Industrial El Álamo"	"20°37'30"""	"103°20'15"""	"Altos Hornos"	"2721"		"Oleoducto"	"Fuelle"	"Alamo Industrial"	"Tlaquepaque"	"Tlaquepaque"	"JALISCO"	"44490"
"LSO5T1412011"	"LABORATORIOS SOPHIA S.A. DE C.V."	"Quimica"	"325412"	"Fabricación de preparaciones farmacéuticas."	"5T"	"FABRICACIÓN DE MEDICAMENTOS FARMACEUTICOS OFTALMICOS, HORMONALES Y NO HORMONALES"	"GUADALAJARA TECHNOLOGY PARK"	"20°43'40"""	"103°29'38"""	"PASEO DEL NORTE"	"5255"		"PASEO PACÍFICO"	"PASEO DEL VALLE"	"GUADALAJARA TECHNOLOGY PARK"	"ZAPOPAN"	"Zapopan"	"JALISCO"	"45010"
"LTA8A2107411"	"LUPINI TARGHE, S.A. DE C.V."	"Quimica"	"332810"	"Recubrimientos y terminados metálicos."	"8A"	"GALVANOPLASTIA (EN PIEZAS METÁLICAS; NO INCLUYE JOYERÍA)."	"CIUDAD TEXTIL 1, NUM. 20"	"19°10'23"""	"98°23'54"""	"CIRCUITO ESTEBAN DE ANTUÑADO"	"MNZN 2"	"LOTE 5"	"CAMINO REAL A SAN JOSE"	"CARRETERA FEDERAL MEXICO-PUEBLA"	"NA"	"HUEJOTZINGO"	"Huejotzingo"	"PUEBLA"	"74160"
"LTE912803212"	"LAIRD TECHNOLOGIES S. DE R.L. DE C.V."	"Articulos y productos compuestos de diferentes materiales"	"339999"	"Otras industrias manufactureras."	"52"	"FABRICACION DE BATERIAS SOLUCIONES Y PRODUCTOS CONTRA LA INTERFERENCIA"	"PROLOGIS PARK TAMAULIPAS"	"26°5'32"""	"98°16'40"""	"AVENIDA DRIVE"	"SN"	"SN"	"NA"	"NA"	"PROLOGIS PARK"	"REYNOSA"	"Reynosa"	"TAMAULIPAS"	"88780"
"LTM5Y1512111"	"LACAS Y TINTAS DE MEXICO, S.A. DE C.V."	"Pinturas y tintas"	"325910"	"Fabricación de tintas para impresión."	"5Y"	"PRODUCCIÓN DE TINTAS PARA IMPRESIÓN Y ESCRITURA."	"PARQUE INDUSTRIAL CUAMATLA"	"19°30'0"""	"99°7'0"""	"ANTOINE LAVOISIER"	"23"		"GUILLERMO GONZALEZ CAMARENA"	"GRAHAM BELL"	"PARQUE INDUSTRIAL CUAMATLA"	"CUAUTITLAN IZCALLI"	"Cuautitlan"	"MEXICO"	"54730"
"LTO5T0900711"	"LABORATORIOS TORNEL, S.A.  ``Planta Hualquila``"	"Quimica"	"325412"	"Fabricación de preparaciones farmacéuticas."	"5T"	"FABRICACIÓN Y VENTA DE PRODUCTOS VETERINARIOS"		"19°21'19"""	"99°6'59"""	"HUALQUILA"	"201"		"AÑO DE JUÁREZ"	"TRABAJADORES SOCIALES"	"BARRIO DE SANTA BÁRBARA"		"Iztapalapa"	"DISTRITO FEDERAL"	"09000"
"LTOKE1409711"	"LOGISTICA Y TRANSPORTES DE OCCIDENTE S.A. DE C.V."	"Otros"	"484111"	"Autotransporte local de productos agrícolas sin refrigeración."	"B0"	"Autotransporte de carga en general"	"."	"20°29'40"""	"103°15'13"""	"Carretera a El Salto Km. 1.5"	"240"		"Carret. a Chapala"	"La Alameda"	"Alameda"	"Tlajomulco de Zúñiga"	"Tlajomulco de Zuniga"	"JALISCO"	"45679"
"LQS5T2111411"	"LABORATORIOS QUIMICA SON´S S. A. DE C. V."	"Quimica"	"325412"	"Fabricación de preparaciones farmacéuticas."	"5T"	"PRODUCCIÓN DE MEDICAMENTOS PARA EL CONSUMO HUMANO"		"19°2'40"""	"98°13'11"""	"23 PTE Y 23 SUR"	"2302"	"A"	"23 SUR Y 25 SUR"	"23 PTE Y 21 PTE."	"LOS VOLCANES"	"PUEBLA"	"Puebla"	"PUEBLA"	"72410"
"LRU5T1510411"	"LABORATORIOS RUSSEK, S. DE R.L. DE C.V."	"Quimica"	"325412"	"Fabricación de preparaciones farmacéuticas."	"5T"	"PRODUCCIÓN DE FARMACÉUTICOS Y MEDICAMENTOS (NO INCLUYE EMPACADO Y/O ETIQUETADO)."	"FRACCIONAMIENTO INDUSTRIAL LAS ARMAS"	"19°30'25"""	"99°12'43"""	"CALZADA DE LAS ARMAS"	"110"		"RANCHO DE ENMEDIO"	"GUILLERMO BARRAZO"	"FRACC. INDUSTRIAL LAS ARMAS"		"Tlalnepantla de Baz"	"MEXICO"	"54080"
"LSA5T1409711"	"Laboratorios Salus S.A. de C.V."	"Quimica"	"325412"	"Fabricación de preparaciones farmacéuticas."	"5T"	"Fabricación o Laboratorio de medicamentos para uso humano"	"Parque Industrial Químico Farmacéutico"	"20°28'16"""	"103°30'5"""	"Carretera Guadalajara-Morelia"	"Km. 22.5"		"X"	"Y"	"Parque Industrial Químico Farmacéutico"	"Tlajomulco de Zúñiga"	"Tlajomulco de Zuniga"	"JALISCO"	"45640"
"LSAB82700411"	"LMC Servicios Ambientales S.A de C.V"	"Otros"	"222112"	"Captación, tratamiento y suministro de agua realizados por el sector privado."	"S7"	"Servicio de Recolección y Tratamiento de Aguas Residuales"		"17°58'12"""	"93°3'42"""	"Autopista Cárdenas-Villahermosa"	"Sin Numero"		"NA"	"NA"	"RA. González 1ra. Sección"		"Centro"	"TABASCO"	"86280"
"LSAZU1505711"	"LABORATORIOS SANFER, S.A. DE C.V."	"Otros"	"493111"	"Almacenes generales de depósito."	"ZU"	"ALMACENAMIENTO Y DISTRIBUCION DE PRODUCTOS FARMACEUTICOS"		"19°28'2"""	"99°13'38"""	"CALLE HORMONA"	"2A"		"BOULEVARD TOLUCA"	"BOULEVARD MANUEL AVILA CAMACHO"	"SAN ANDRES ATOTO"		"Naucalpan de Juarez"	"MEXICO"	"53500"
"LSC5T1510611"	"LANDSTEINER SCIENTIFIC S.A. DE C.V."	"Quimica"	"325412"	"Fabricación de preparaciones farmacéuticas."	"5T"	"PRODUCCIÓN DE FARMACÉUTICOS Y MEDICAMENTOS (NO INCLUYE EMPACADO Y/O ETIQUETADO)."	"PARQUE INDUSTRIAL TOLUCA 2000"	"19°23'20"""	"99°34'15"""	"CALLE 6 NORTE"	"LOTE 14"	"MANZANA H"	"EJE 1 NORTE"	"EJE 2 NORTE"	"PARQUE INDUSTRIAL TOLUCA 2000"	"TOLUCA"	"Toluca"	"MEXICO"	"50200"
"LSE5M1100711"	"LABORATORIOS SENOSIAIN, S.A. DE C.V. PLANTA FARMOQUÍMICA"	"Quimica"	"325411"	"Fabricación de materias primas para la industria farmacéutica."	"5M"	"PRODUCCIÓN DE MATERIAS PRIMAS PARA MEDICAMENTOS."		"20°34'15"""	"100°47'5"""	"CAMINO A SAN LUIS REY"	"121"		"N.A."	"N.A."	"EX HACIENDA SANTA RITA"	"CELAYA"	"Celaya"	"GUANAJUATO"	"38137"
"LSE5T0900711"	"LABORATORIOS SERVET S.A. DE C.V."	"Quimica"	"325412"	"Fabricación de preparaciones farmacéuticas."	"5T"	"PRODUCCIÓN DE FARMACÉUTICOS Y MEDICAMENTOS"		"19°24'55"""	"99°11'16"""	"CALZADA ERMITA IZTAPALAPA"	"436"		"JORGE A. RIVAS"	"CALZADA DE LA VIGA"	"MEXICALTZINGO"		"Iztapalapa"	"DISTRITO FEDERAL"	"09099"
"LSE5T0901611"	"LABORATORIOS SENOSIAIN S.A. DE C.V.                       PLANTA LAGO SILVERIO"	"Quimica"	"325412"	"Fabricación de preparaciones farmacéuticas."	"5T"	"FABRICACIÓN DE MEDICAMENTOS."		"19°26'59"""	"99°10'59"""	"LAGO SILVERIO"	"177"	"N.A."	"LAGO BOLSENA"	"LAGUNA DE TPERMINOS"	"ANAHUAC"	"NA"	"Miguel Hidalgo"	"DISTRITO FEDERAL"	"11320"
"LSE5T1100711"	"LABORATORIOS SENOSIAIN S.A. DE C.V. PLANTA FARMACÉUTICA"	"Quimica"	"325412"	"Fabricación de preparaciones farmacéuticas."	"5T"	"PRODUCCIÓN DE FARMACÉUTICOS Y MEDICAMENTOS (NO INCLUYE EMPACADO Y/O ETIQUETADO)."		"20°34'15"""	"100°47'5"""	"CAMINO A SAN LUIS REY"	"221"		"CAMINO A SAN LUIS REY"	"CAMINO A SAN LUIS REY"	"EX HACIENDA STA RITA"	"CELAYA"	"Celaya"	"GUANAJUATO"	"38137"
"LPC7M3001411"	"LAMINA Y PLACA COMEMERCIAL S.A. DE C.V."	"Articulos y productos metalicos"	"332999"	"Fabricación de otros productos metálicos."	"7X"	"METALMECANICA"		"18°50'42"""	"96°55'17"""	"KM 10 CARRETERA FEDERAL"	"SN"				"VENTA PARADA"	"AMATLAN DE LOS REYES"	"Amatlan de los Reyes"	"VERACRUZ"	"94946"
"LPC8A1900611"	"LÁMINA Y PLACA COMERCIAL, .S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"331520"	"Moldeo por fundición de piezas metálicas no ferrosas."	"ND"	"GALVANIZADO , DECAPADO Y PINTADO DE LÁMINA DE ACERO"		"25°45'4"""	"100°13'23"""	"BLVD. CARLOS SALINAS DE GORTARI KM 7.7"	"KM 7.7"		"CAMINO AL MEZQUITAL"	"CALLE SIN NOMBRE"	"VALLE DEL MEZQUITAL"		"Apodaca"	"NUEVO LEON"	"66600"
"LPI5I1409721"	"Laboratorios Pizzard, S.A. de C.V."	"Quimica"	"325412"	"Fabricación de preparaciones farmacéuticas."	"5T"	"Elaboración de medicamentos farmacéuticos de uso humano"	"Parque Industrial Químico Farmacéutico"	"20°28'12"""	"103°30'7"""	"Carretera Guadalajara-Morelia"	"km 22.5"		"x"	"y"	"Parque Industrial Químico Farmacéutico"	"Tlajomulco de Zuñiga"	"Tlajomulco de Zuniga"	"JALISCO"	"45640"
"LPI5T0900311"	"LABORATORIOS PiSA S.A. DE C.V."	"Quimica"	"325412"	"Fabricación de preparaciones farmacéuticas."	"5T"	"PRODUCCIÓN DE FARMACÉUTICOS Y MEDICAMENTOS (NO INCLUYE EMPACADO Y/O ETIQUETADO)."		"19°20'32"""	"99°10'4"""	"MIGUEL ÁNGEL DE QUEVEDO"	"555"		"ALFA"	"MOCTEZUMA"	"ROMERO DE TERREROS"		"Coyoacan"	"DISTRITO FEDERAL"	"04310"
"LPI5T1403912"	"Laboratorios Pisa S.A de C.V"	"Quimica"	"325412"	"Fabricación de preparaciones farmacéuticas."	"5T"	"PRODUCCIÓN DE FARMACÉUTICOS Y MEDICAMENTOS (NO INCLUYE EMPACADO Y/O ETIQUETADO)."		"20°38'3"""	"103°22'6"""	"Calle 7"	"No. 1308"		"Calle 6"	"Calle 8"	"Zona Industrial"	"Guadalajara"	"Guadalajara"	"JALISCO"	"44940"
"LPI5T1403913"	"Laboratorios Pisa S.A de C.V"	"Quimica"	"325412"	"Fabricación de preparaciones farmacéuticas."	"5T"	"PRODUCCIÓN DE FARMACÉUTICOS Y MEDICAMENTOS (NO INCLUYE EMPACADO Y/O ETIQUETADO)."		"20°38'8"""	"103°22'5"""	"Calle 6"	"2924"		"Calle 7"	"Calle 5"	"Zona Industrial"	"Guadalajara"	"Guadalajara"	"JALISCO"	"44940"
"LPI5T1403915"	"Laboratorios Pisa S.A de C.V"	"Quimica"	"325412"	"Fabricación de preparaciones farmacéuticas."	"5T"	"PRODUCCIÓN DE FARMACÉUTICOS Y MEDICAMENTOS (NO INCLUYE EMPACADO Y/O ETIQUETADO)."		"20°38'8"""	"103°22'5"""	"Calle 6"	"2676"		"Calle 7"	"Calle 5"	"Zona Industrial"	"Guadalajara"	"Guadalajara"	"JALISCO"	"44940"
"LPI5T1409712"	"LABORATORIOS PISA S.A. de C.V."	"Quimica"	"325412"	"Fabricación de preparaciones farmacéuticas."	"5T"	"PRODUCCIÓN DE FARMACÉUTICOS Y MEDICAMENTOS (NO INCLUYE EMPACADO Y/O ETIQUETADO)."		"20°29'58"""	"103°28'17"""	"Carretera a San Isidro Mazatepec"	"7000"		"N.A."	"N.A."	"Santa cruz de las flores"	"Tlajomulco de Zuñiga"	"Tlajomulco de Zuniga"	"JALISCO"	"45640"
"LPI5U1501311"	"Latinoamericana de Pinturas SA de CV"	"Pinturas y tintas"	"325510"	"Fabricación de pinturas y recubrimientos."	"5U"	"Elaboración de pinturas vinílicas esmaltes barnices resinas impermeabilizantes emulsifican"		"19°33'21"""	"99°14'53"""	"Presidente Adolfo López Mateos Mateos"	"171"		"2 de Abril"	"Adolfo Ruiz Cortinez"	"Centro"	"Ciudad López Mateos"	"Atizapan de Zaragoza"	"MEXICO"	"52900"
"LPM912802211"	"LINEAGE POWER MATAMOROS, S.A. DE C.V."	"Equipos y articulos electronicos, electricos y domesticos"	"334410"	"Fabricación de componentes electrónicos."	"91"	"MANUFACTURA DE PRODUCTOS ELECTRONICOS"	"PARQUE CIUDAD INDUSTRIAL"	"25°50'28"""	"97°26'39"""	"PONIENTE 2"	"3"		"NORTE 7"	"LIMITE DEL FRACCIONAMIENTO"	"CIUDAD INDUSTRIAL"		"Matamoros"	"TAMAULIPAS"	"87499"
"LPU9L2111411"	"Luk Puebla S. A. de C. V."	"Automotriz"	"336340"	"Fabricación de partes de sistemas de frenos para vehículos automotrices."	"9L"	"Fabricacion de embragues, discos y volantes"	"RESURRECCION"	"19°4'42"""	"98°8'43"""	"RESURRECCIÓN NORTE"	"12"		"PRIVADA RESURRECCIÓN"	"INDUSTRIA UNIVERSAL DIDACTICA"	"PARQUE.IND. RESURRECCION"	"PUEBLA"	"Puebla"	"PUEBLA"	"72920"
"LQM5I1502411"	"LIQUID QUIMICA MEXICANA S.A. DE C.V."	"Quimica"	"325180"	"Fabricación de otros productos químicos básicos inorgánicos."	"5I"	"PRODUCCION DE CARBONATO DE CALCIO PRECIPITADO"	"CUAUTITLAN TULTITLAN"	"19°38'54"""	"99°11'2"""	"CARRETERA TLALNEPANTLA CUAUTITLAN"	"KM 31.5"		"FRANCISCO VILLA"	"EMILIANO ZAPATA"	"LOMA BONITA"		"Cuautitlan"	"MEXICO"	"54800"
"LMI5M1505711"	"LABORATORIOS MIXIM S.A. DE C.V."	"Quimica"	"325411"	"Fabricación de materias primas para la industria farmacéutica."	"5M"	"ELABORACION DE EXTRACTOS PARA LA INDUSTRIA ALIMENTARIA, FARMACEUTICA Y COSMETICA"		"19°28'27"""	"99°13'52"""	"JARDIN SUR"	"6"		"ABASOLO"	"PARQUE"	"CENTRO"	"NAUCALPAN"	"Naucalpan de Juarez"	"MEXICO"	"53000"
"LMMMA1902611"	"LAERDAL MEDICAL MONTERREY  SA DE CV"	"Quimica"	"326194"	"Fabricación de otros productos de plástico de uso industrial sin reforzamiento."	"MA"	"FABRICACIÓN DE PRODUCTOS MOLDEADOS CON DIVERSAS RESINAS; NO INCLUYE LA MICROINDUSTRIA NI"	"PARQUE INDUSTRIAL GUADALUPE"	"25°40'11"""	"100°11'41"""	"AVANTE"	"841"		"FERNANDO SOLER"	"BENITO JUAREZ"	"PARQ. IND GUADALUPE"	"GUADALUPE"	"Guadalupe"	"NUEVO LEON"	"67190"
"LMO7N1902611"	"LUVATA MONTERREY, S. DE R.L. DE C.V."	"Metalurgica (incluye la siderurgica)"	"331411"	"Fundición y refinación de cobre."	"7N"	"AFINACIÓN Y REFINACIÓN DE COBRE (ASÍ COMO SUS ALEACIONES; INCLUYE FUNDICIÓN, EXTRUSIÓN O E"	"Parque Industrial Finsa Guadalupe Aeropuerto"	"25°41'21"""	"100°7'58"""	"Alborada"	"541"		"Avenida Finsa"	"Autopista a Reynosa"	"Rancho El Refugio"	"Guadalupe"	"Guadalupe"	"NUEVO LEON"	"67114"
"LMT9M0502511"	"LEAR MEXICAN TRIM OPERATIONS S. DE R.L. DE C.V."	"Automotriz"	"336390"	"Fabricación de otras partes para vehículos automotrices."	"9M"	"FABRICACION Y/O ENSAMBLE DE OTROS ACCESORIOS AUTOMOTRICES"	"DESARROLLO INSDUTRIAL RIO GRANDE"	"28°42'36"""	"100°31'48"""	"BLVD REPUBLICA"	"130"		"JUAN DE LA BARRERA"	"LIBRAMIENTO MANUEL PEREZ TREVIÑO"	"GUILLEN"	"PIEDRAS NEGRAS"	"Piedras Negras"	"COAHUILA"	"26080"
"LMTMV0803712"	"Lear  Mexican  Trim Operations S.de R.L de C.V. Planta San Lorenzo"	"Automotriz"	"336360"	"Fabricación de asientos y accesorios interiores para vehículos automotores."	"MV"	"Corte y confeccion de vestiduras automotrices"	"Parque Industrial Befeer"	"31°42'2"""	"106°27'41"""	"Av. San Lorenzo"	"250"		"Ave. del Valle"	"Pedro Gante"	"San Lorenzo"	"Cd. Juarez"	"Juarez"	"CHIHUAHUA"	"32320"
"LOOND1512011"	"José Esteban Lopez Ordoñez"	"Metalurgica (incluye la siderurgica)"	"331520"	"Moldeo por fundición de piezas metálicas no ferrosas."	"ND"	"FUNDICIÓN Y MOLDEO DE PIEZAS DE METALES NO FERROSOS."	"Fuera de centro poblado"	"19°45'18"""	"99°3'10"""	"San Carlos"	"sn"		"5 de mayo"	"Camino a san juan"	"Pueblo Nuevo de Morelos"	"Zumpango"	"Zumpango"	"MEXICO"	"55600"
